exchangeInstrumentID,symbol,reason
3351,SUNPHARMA,no_fut_or_opt_pattern
13404,SUNTV,no_fut_or_opt_pattern
3363,SUPREMEIND,no_fut_or_opt_pattern
12018,SUZLON,no_fut_or_opt_pattern
12489,SWSOLAR,no_fut_or_opt_pattern
10243,SYNGENE,no_fut_or_opt_pattern
10793,SYRMA,no_fut_or_opt_pattern
13976,TANLA,no_fut_or_opt_pattern
3405,TATACHEM,no_fut_or_opt_pattern
3721,TATACOMM,no_fut_or_opt_pattern
3432,TATACONSUM,no_fut_or_opt_pattern
3411,TATAELXSI,no_fut_or_opt_pattern
1621,TATAINVEST,no_fut_or_opt_pattern
3456,TATAMOTORS,no_fut_or_opt_pattern
3426,TATAPOWER,no_fut_or_opt_pattern
3499,TATASTEEL,no_fut_or_opt_pattern
20293,TATATECH,no_fut_or_opt_pattern
23740,TBOTEK,no_fut_or_opt_pattern
11536,TCS,no_fut_or_opt_pattern
13538,TECHM,no_fut_or_opt_pattern
6445,TECHNOE,no_fut_or_opt_pattern
21131,TEJASNET,no_fut_or_opt_pattern
3475,THERMAX,no_fut_or_opt_pattern
312,TIINDIA,no_fut_or_opt_pattern
14198,TIMKEN,no_fut_or_opt_pattern
15414,TITAGARH,no_fut_or_opt_pattern
3506,TITAN,no_fut_or_opt_pattern
3518,TORNTPHARM,no_fut_or_opt_pattern
13786,TORNTPOWER,no_fut_or_opt_pattern
1964,TRENT,no_fut_or_opt_pattern
9685,TRIDENT,no_fut_or_opt_pattern
25584,TRITURBINE,no_fut_or_opt_pattern
13081,TRIVENI,no_fut_or_opt_pattern
8954,TTML,no_fut_or_opt_pattern
8479,TVSMOTOR,no_fut_or_opt_pattern
18151,TVSSCS,no_fut_or_opt_pattern
16713,UBL,no_fut_or_opt_pattern
11223,UCOBANK,no_fut_or_opt_pattern
15228,UJJIVANSFB,no_fut_or_opt_pattern
11532,ULTRACEMCO,no_fut_or_opt_pattern
10753,UNIONBANK,no_fut_or_opt_pattern
10447,UNITDSPR,no_fut_or_opt_pattern
14154,UNOMINDA,no_fut_or_opt_pattern
11287,UPL,no_fut_or_opt_pattern
8840,USHAMART,no_fut_or_opt_pattern
527,UTIAMC,no_fut_or_opt_pattern
3857,VARROC,no_fut_or_opt_pattern
18921,VBL,no_fut_or_opt_pattern
3063,VEDL,no_fut_or_opt_pattern
15362,VGUARD,no_fut_or_opt_pattern
5585,VIJAYA,no_fut_or_opt_pattern
17364,VINATIORGA,no_fut_or_opt_pattern
3703,VIPIND,no_fut_or_opt_pattern
3718,VOLTAS,no_fut_or_opt_pattern
2073,VTL,no_fut_or_opt_pattern
11821,WELCORP,no_fut_or_opt_pattern
11253,WELSPUNLIV,no_fut_or_opt_pattern
11580,WESTLIFE,no_fut_or_opt_pattern
18011,WHIRLPOOL,no_fut_or_opt_pattern
3787,WIPRO,no_fut_or_opt_pattern
11915,YESBANK,no_fut_or_opt_pattern
3812,ZEEL,no_fut_or_opt_pattern
1076,ZENSARTECH,no_fut_or_opt_pattern
16915,ZFCVINDIA,no_fut_or_opt_pattern
7929,ZYDUSLIFE,no_fut_or_opt_pattern
